"login__-","id__-","node_id__-","avatar_url__-","gravatar_id__-","url__-","html_url__-","followers_url__-","following_url__-","gists_url__-","starred_url__-","subscriptions_url__-","organizations_url__-","repos_url__-","events_url__-","received_events_url__-","type__-","site_admin__-"
"diangelisj","2672930","MDQ6VXNlcjI2NzI5MzA=","https://avatars0.githubusercontent.com/u/2672930?v=4","","https://api.github.com/users/diangelisj","https://github.com/diangelisj","https://api.github.com/users/diangelisj/followers","https://api.github.com/users/diangelisj/following{/other_user}","https://api.github.com/users/diangelisj/gists{/gist_id}","https://api.github.com/users/diangelisj/starred{/owner},{/repo}","https://api.github.com/users/diangelisj/subscriptions","https://api.github.com/users/diangelisj/orgs","https://api.github.com/users/diangelisj/repos","https://api.github.com/users/diangelisj/events{/privacy}","https://api.github.com/users/diangelisj/received_events","User","False"
"CharlesMendes","1323305","MDQ6VXNlcjEzMjMzMDU=","https://avatars0.githubusercontent.com/u/1323305?v=4","","https://api.github.com/users/CharlesMendes","https://github.com/CharlesMendes","https://api.github.com/users/CharlesMendes/followers","https://api.github.com/users/CharlesMendes/following{/other_user}","https://api.github.com/users/CharlesMendes/gists{/gist_id}","https://api.github.com/users/CharlesMendes/starred{/owner},{/repo}","https://api.github.com/users/CharlesMendes/subscriptions","https://api.github.com/users/CharlesMendes/orgs","https://api.github.com/users/CharlesMendes/repos","https://api.github.com/users/CharlesMendes/events{/privacy}","https://api.github.com/users/CharlesMendes/received_events","User","False"
"danielmadu","3596439","MDQ6VXNlcjM1OTY0Mzk=","https://avatars2.githubusercontent.com/u/3596439?v=4","","https://api.github.com/users/danielmadu","https://github.com/danielmadu","https://api.github.com/users/danielmadu/followers","https://api.github.com/users/danielmadu/following{/other_user}","https://api.github.com/users/danielmadu/gists{/gist_id}","https://api.github.com/users/danielmadu/starred{/owner},{/repo}","https://api.github.com/users/danielmadu/subscriptions","https://api.github.com/users/danielmadu/orgs","https://api.github.com/users/danielmadu/repos","https://api.github.com/users/danielmadu/events{/privacy}","https://api.github.com/users/danielmadu/received_events","User","False"
"josejuniorgyn","9425165","MDQ6VXNlcjk0MjUxNjU=","https://avatars3.githubusercontent.com/u/9425165?v=4","","https://api.github.com/users/josejuniorgyn","https://github.com/josejuniorgyn","https://api.github.com/users/josejuniorgyn/followers","https://api.github.com/users/josejuniorgyn/following{/other_user}","https://api.github.com/users/josejuniorgyn/gists{/gist_id}","https://api.github.com/users/josejuniorgyn/starred{/owner},{/repo}","https://api.github.com/users/josejuniorgyn/subscriptions","https://api.github.com/users/josejuniorgyn/orgs","https://api.github.com/users/josejuniorgyn/repos","https://api.github.com/users/josejuniorgyn/events{/privacy}","https://api.github.com/users/josejuniorgyn/received_events","User","False"
"felipecwb","4389523","MDQ6VXNlcjQzODk1MjM=","https://avatars1.githubusercontent.com/u/4389523?v=4","","https://api.github.com/users/felipecwb","https://github.com/felipecwb","https://api.github.com/users/felipecwb/followers","https://api.github.com/users/felipecwb/following{/other_user}","https://api.github.com/users/felipecwb/gists{/gist_id}","https://api.github.com/users/felipecwb/starred{/owner},{/repo}","https://api.github.com/users/felipecwb/subscriptions","https://api.github.com/users/felipecwb/orgs","https://api.github.com/users/felipecwb/repos","https://api.github.com/users/felipecwb/events{/privacy}","https://api.github.com/users/felipecwb/received_events","User","False"
"williambsantos","1949478","MDQ6VXNlcjE5NDk0Nzg=","https://avatars0.githubusercontent.com/u/1949478?v=4","","https://api.github.com/users/williambsantos","https://github.com/williambsantos","https://api.github.com/users/williambsantos/followers","https://api.github.com/users/williambsantos/following{/other_user}","https://api.github.com/users/williambsantos/gists{/gist_id}","https://api.github.com/users/williambsantos/starred{/owner},{/repo}","https://api.github.com/users/williambsantos/subscriptions","https://api.github.com/users/williambsantos/orgs","https://api.github.com/users/williambsantos/repos","https://api.github.com/users/williambsantos/events{/privacy}","https://api.github.com/users/williambsantos/received_events","User","False"
"bxmoreira","6947644","MDQ6VXNlcjY5NDc2NDQ=","https://avatars3.githubusercontent.com/u/6947644?v=4","","https://api.github.com/users/bxmoreira","https://github.com/bxmoreira","https://api.github.com/users/bxmoreira/followers","https://api.github.com/users/bxmoreira/following{/other_user}","https://api.github.com/users/bxmoreira/gists{/gist_id}","https://api.github.com/users/bxmoreira/starred{/owner},{/repo}","https://api.github.com/users/bxmoreira/subscriptions","https://api.github.com/users/bxmoreira/orgs","https://api.github.com/users/bxmoreira/repos","https://api.github.com/users/bxmoreira/events{/privacy}","https://api.github.com/users/bxmoreira/received_events","User","False"
"vndmtrx","596651","MDQ6VXNlcjU5NjY1MQ==","https://avatars2.githubusercontent.com/u/596651?v=4","","https://api.github.com/users/vndmtrx","https://github.com/vndmtrx","https://api.github.com/users/vndmtrx/followers","https://api.github.com/users/vndmtrx/following{/other_user}","https://api.github.com/users/vndmtrx/gists{/gist_id}","https://api.github.com/users/vndmtrx/starred{/owner},{/repo}","https://api.github.com/users/vndmtrx/subscriptions","https://api.github.com/users/vndmtrx/orgs","https://api.github.com/users/vndmtrx/repos","https://api.github.com/users/vndmtrx/events{/privacy}","https://api.github.com/users/vndmtrx/received_events","User","False"
"C4rL0sM4gn0","5586904","MDQ6VXNlcjU1ODY5MDQ=","https://avatars1.githubusercontent.com/u/5586904?v=4","","https://api.github.com/users/C4rL0sM4gn0","https://github.com/C4rL0sM4gn0","https://api.github.com/users/C4rL0sM4gn0/followers","https://api.github.com/users/C4rL0sM4gn0/following{/other_user}","https://api.github.com/users/C4rL0sM4gn0/gists{/gist_id}","https://api.github.com/users/C4rL0sM4gn0/starred{/owner},{/repo}","https://api.github.com/users/C4rL0sM4gn0/subscriptions","https://api.github.com/users/C4rL0sM4gn0/orgs","https://api.github.com/users/C4rL0sM4gn0/repos","https://api.github.com/users/C4rL0sM4gn0/events{/privacy}","https://api.github.com/users/C4rL0sM4gn0/received_events","User","False"
"brunocasanova","4107768","MDQ6VXNlcjQxMDc3Njg=","https://avatars0.githubusercontent.com/u/4107768?v=4","","https://api.github.com/users/brunocasanova","https://github.com/brunocasanova","https://api.github.com/users/brunocasanova/followers","https://api.github.com/users/brunocasanova/following{/other_user}","https://api.github.com/users/brunocasanova/gists{/gist_id}","https://api.github.com/users/brunocasanova/starred{/owner},{/repo}","https://api.github.com/users/brunocasanova/subscriptions","https://api.github.com/users/brunocasanova/orgs","https://api.github.com/users/brunocasanova/repos","https://api.github.com/users/brunocasanova/events{/privacy}","https://api.github.com/users/brunocasanova/received_events","User","False"
